tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,hỗ trợ RAM,khe M.2,lưu trữ
Gigabyte Z690 AORUS ELITE AX (rev. 1.4) DDR5 ATX,262.44,LGA 1700,ATX,128,4,BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
Biostar B650 MT AM5 DDR5 Micro ATX,173.58,AM5,Micro ATX,96,2,BLACK / GREY,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B360M PRO-VD DDR4 Micro ATX,259.99,LGA 1151,Micro ATX,32,2,BROWN / BLACK,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z170 GA-Z170MX-Gaming 5 DDR4 Micro ATX,259.99,LGA 1151,Micro ATX,64,4,BLACK / RED,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock B460 M Pro4 LGA1200 DDR4 Micro ATX,248.99,LGA 1200,Micro ATX,128,4,BLACK / GREY,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B850 GAMING X WIFI6E AM5 DDR5 ATX,232.67,AM5,ATX,256,4,GREY / BLACK,DDR5,PCIe 4.0 x4,
ASRock Z790 Nova WiFi DDR5 ATX,202.21,LGA 1700,ATX,192,4,BLACK,DDR5,PCIe 4.0 x4,
Asus ROG STRIX Z890-E GAMING WIFI DDR5 ATX,329.99,LGA 1851,ATX,192,4,BLACK,DDR5,PCIe 4.0 x4,
Asus B150 PRO GAMING/AURA DDR4 ATX,368.49,LGA 1151,ATX,64,4,BLACK / RED,DDR4,PCIe 4.0 x4,sata_6_gb_s
EVGA Z790 CLASSIFIED LGA1700 DDR5 EATX,520.99,LGA 1700,EATX,128,4,BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
ROG STRIX X870-F GAMING WIFI,239.50,AM5,ATX,192,4,,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Asus PRIME Z690-P WIFI D4 DDR4 ATX,309.99,LGA 1700,ATX,128,4,GREY / BLACK,DDR4,PCIe 4.0 x4,
Gigabyte B860M H LGA1851 DDR5 Micro ATX,169.99,LGA 1851,Micro ATX,128,2,GREY / BLACK,DDR5,PCIe 4.0 x4,sata_6_gb_s
